person_id,position,years,team,b_games,b_ab,b_pa,b_h,b_bb,b_hbp,b_sf,b_tb,b_so,b_hr,b_war,b_wpa_bat,b_leverage_index_avg,b_wpa_li_adjusted,b_clutch
betts-000mar,OF,10,LAD,1334.0000,5297.0000,6069.0000,1538.0000,669.0000,48.0000,55.0000,2746.0000,811.0000,268.0000,66.9200,29.0810,0.9784,30.8700,-0.6908
bichet000bo-,SS,7,TOR,748.0000,3075.0000,3292.0000,904.0000,187.0000,17.0000,13.0000,1443.0000,639.0000,111.0000,20.9500,8.6490,0.9690,6.1790,2.5230
bogaer001xan,SS,10,BOS,1348.0000,5154.0000,5771.0000,1486.0000,517.0000,47.0000,52.0000,2364.0000,1018.0000,177.0000,36.3600,9.6750,1.0012,9.8090,-0.5732
bregma001ale,3B,10,HOU,1225.0000,4590.0000,5327.0000,1250.0000,627.0000,67.0000,42.0000,2206.0000,716.0000,209.0000,43.0500,12.2830,0.9696,18.1700,-5.1653
bryant001kri,3B,10,CHC,903.0000,3360.0000,3900.0000,914.0000,427.0000,94.0000,19.0000,1618.0000,865.0000,158.0000,21.9700,6.4120,0.9674,14.2870,-7.5520
busch-002mic,1B,3,CHC,334.0000,1092.0000,1240.0000,272.0000,127.0000,14.0000,7.0000,513.0000,328.0000,57.0000,6.9400,3.3470,0.9380,3.5110,0.1423
buxton000byr,CF,10,MIN,852.0000,2973.0000,3279.0000,741.0000,228.0000,45.0000,21.0000,1470.0000,934.0000,166.0000,29.4200,6.8210,0.9847,9.3390,-1.7048
castel002nic,OF,10,DET,1375.0000,5312.0000,5758.0000,1459.0000,357.0000,50.0000,39.0000,2532.0000,1324.0000,224.0000,12.3400,7.3710,0.9711,8.5080,-0.8044
castro003wil,OF,7,DET,705.0000,2325.0000,2590.0000,568.0000,176.0000,63.0000,16.0000,893.0000,623.0000,56.0000,4.0100,-3.9360,1.0084,-2.1560,-1.8436
confor001mic,OF,9,NYM,1094.0000,3639.0000,4230.0000,887.0000,495.0000,70.0000,26.0000,1599.0000,1016.0000,170.0000,14.7500,6.7710,1.0051,8.2670,-1.4978
correa000car,SS,10,HOU,1154.0000,4329.0000,4912.0000,1190.0000,512.0000,29.0000,41.0000,1990.0000,1008.0000,178.0000,41.0500,5.3460,1.0105,11.4210,-5.9286
crow-a000pet,CF,3,CHC,293.0000,977.0000,1076.0000,234.0000,53.0000,15.0000,15.0000,427.0000,260.0000,41.0000,8.1400,0.3440,0.9203,0.8450,-0.5475
devers000raf,3B,9,BOS,1143.0000,4409.0000,4944.0000,1215.0000,470.0000,40.0000,24.0000,2232.0000,1086.0000,235.0000,26.6700,14.4730,1.0129,17.5490,-3.3451
flores003wil,3B,10,SFG,1095.0000,3444.0000,3821.0000,895.0000,292.0000,44.0000,41.0000,1514.0000,554.0000,146.0000,8.3700,3.1290,1.0196,2.4850,0.6825
frazie001ada,2B,10,PIT,1200.0000,3844.0000,4253.0000,1015.0000,308.0000,58.0000,20.0000,1472.0000,596.0000,67.0000,15.4400,2.8730,1.0110,-4.0080,7.0336
freema002fre,1B,10,ATL,1428.0000,5405.0000,6266.0000,1660.0000,741.0000,78.0000,42.0000,2883.0000,1120.0000,263.0000,49.3300,34.6260,0.9676,38.3930,-2.6027
goldsc001pau,1B,10,STL,1453.0000,5363.0000,6178.0000,1518.0000,725.0000,42.0000,32.0000,2630.0000,1390.0000,256.0000,40.5900,20.8670,0.9701,28.6400,-7.3893
grichu001ran,OF,10,TOR,1210.0000,4061.0000,4367.0000,1010.0000,246.0000,37.0000,23.0000,1867.0000,1052.0000,192.0000,10.7800,-4.2390,0.9956,-0.9080,-3.2244
happ--000ian,OF,9,CHC,1139.0000,3845.0000,4449.0000,950.0000,540.0000,34.0000,25.0000,1718.0000,1175.0000,173.0000,22.4100,4.9450,0.9756,8.0300,-2.8531
harper002bry,OF,10,PHI,1275.0000,4605.0000,5522.0000,1273.0000,826.0000,39.0000,48.0000,2392.0000,1205.0000,266.0000,34.3200,31.0440,0.9882,29.8320,1.4764
hernan000teo,OF,10,TOR,1099.0000,4045.0000,4407.0000,1054.0000,304.0000,33.0000,22.0000,1957.0000,1276.0000,217.0000,18.9700,2.7930,0.9047,5.8910,-3.0593
heywar001jas,OF,10,CHC,989.0000,3169.0000,3566.0000,771.0000,335.0000,30.0000,20.0000,1226.0000,604.0000,89.0000,11.6000,-6.5440,0.9578,-2.4370,-4.5876
hoerne000nic,2B,7,CHC,704.0000,2616.0000,2873.0000,738.0000,192.0000,45.0000,18.0000,1004.0000,315.0000,36.0000,21.7600,4.2270,0.9754,0.6780,3.6785
hoskin000rhy,1B,8,PHI,888.0000,3155.0000,3722.0000,750.0000,479.0000,51.0000,31.0000,1499.0000,929.0000,186.0000,12.0600,8.1040,1.0031,10.9080,-2.8281
iglesi001jos,SS,9,DET,1029.0000,3506.0000,3758.0000,971.0000,165.0000,53.0000,16.0000,1347.0000,475.0000,48.0000,9.7400,-2.4680,0.9926,-6.5930,4.0690
judge-001aar,OF,10,NYY,1145.0000,4105.0000,5002.0000,1205.0000,817.0000,40.0000,33.0000,2526.0000,1369.0000,368.0000,62.2500,35.3810,0.9435,45.6330,-9.2532
