2026-04-30 12:25:23,962 : INFO : collecting all words and their counts
2026-04-30 12:25:23,985 : INFO : PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
2026-04-30 12:27:27,665 : INFO : EPOCH 0 - PROGRESS: at 48.46% examples, 74846 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:28,671 : INFO : EPOCH 0 - PROGRESS: at 48.95% examples, 74836 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:29,680 : INFO : EPOCH 0 - PROGRESS: at 49.45% examples, 74847 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:30,710 : INFO : EPOCH 0 - PROGRESS: at 49.99% examples, 74869 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:31,721 : INFO : EPOCH 0 - PROGRESS: at 50.45% examples, 74817 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:32,736 : INFO : EPOCH 0 - PROGRESS: at 50.96% examples, 74857 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:27:33,741 : INFO : EPOCH 0 - PROGRESS: at 51.39% examples, 74757 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:34,744 : INFO : EPOCH 0 - PROGRESS: at 51.82% examples, 74696 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:35,918 : INFO : EPOCH 0 - PROGRESS: at 52.25% examples, 74488 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:36,932 : INFO : EPOCH 0 - PROGRESS: at 52.81% examples, 74521 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:37,937 : INFO : EPOCH 0 - PROGRESS: at 53.26% examples, 74401 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:38,954 : INFO : EPOCH 0 - PROGRESS: at 53.67% examples, 74262 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:40,013 : INFO : EPOCH 0 - PROGRESS: at 54.10% examples, 74099 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:41,039 : INFO : EPOCH 0 - PROGRESS: at 54.54% examples, 73993 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:42,048 : INFO : EPOCH 0 - PROGRESS: at 55.14% examples, 74049 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:43,078 : INFO : EPOCH 0 - PROGRESS: at 55.68% examples, 74067 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:44,089 : INFO : EPOCH 0 - PROGRESS: at 56.25% examples, 74118 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:45,139 : INFO : EPOCH 0 - PROGRESS: at 56.73% examples, 74052 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:46,156 : INFO : EPOCH 0 - PROGRESS: at 57.27% examples, 74025 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:27:47,156 : INFO : EPOCH 0 - PROGRESS: at 57.74% examples, 73955 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:48,180 : INFO : EPOCH 0 - PROGRESS: at 58.28% examples, 73941 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:49,206 : INFO : EPOCH 0 - PROGRESS: at 58.74% examples, 73888 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:50,218 : INFO : EPOCH 0 - PROGRESS: at 59.30% examples, 73928 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:51,224 : INFO : EPOCH 0 - PROGRESS: at 59.77% examples, 73913 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:52,240 : INFO : EPOCH 0 - PROGRESS: at 60.31% examples, 73954 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:53,261 : INFO : EPOCH 0 - PROGRESS: at 60.85% examples, 73963 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:54,272 : INFO : EPOCH 0 - PROGRESS: at 61.42% examples, 74029 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:55,299 : INFO : EPOCH 0 - PROGRESS: at 61.91% examples, 74001 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:56,316 : INFO : EPOCH 0 - PROGRESS: at 62.36% examples, 73933 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:57,332 : INFO : EPOCH 0 - PROGRESS: at 62.83% examples, 73910 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:27:58,335 : INFO : EPOCH 0 - PROGRESS: at 63.34% examples, 73913 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:27:59,345 : INFO : EPOCH 0 - PROGRESS: at 63.84% examples, 73904 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:00,350 : INFO : EPOCH 0 - PROGRESS: at 64.30% examples, 73919 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:01,358 : INFO : EPOCH 0 - PROGRESS: at 64.77% examples, 73948 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:02,366 : INFO : EPOCH 0 - PROGRESS: at 65.26% examples, 73971 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:03,384 : INFO : EPOCH 0 - PROGRESS: at 65.74% examples, 73964 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:28:04,394 : INFO : EPOCH 0 - PROGRESS: at 66.31% examples, 73972 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:28:05,399 : INFO : EPOCH 0 - PROGRESS: at 66.89% examples, 73976 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:06,410 : INFO : EPOCH 0 - PROGRESS: at 67.51% examples, 73992 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:07,437 : INFO : EPOCH 0 - PROGRESS: at 68.08% examples, 73986 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:28:08,456 : INFO : EPOCH 0 - PROGRESS: at 68.73% examples, 74024 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:09,461 : INFO : EPOCH 0 - PROGRESS: at 69.29% examples, 74025 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:10,464 : INFO : EPOCH 0 - PROGRESS: at 69.82% examples, 74062 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:11,467 : INFO : EPOCH 0 - PROGRESS: at 70.38% examples, 74104 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:12,474 : INFO : EPOCH 0 - PROGRESS: at 70.99% examples, 74152 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:13,476 : INFO : EPOCH 0 - PROGRESS: at 71.60% examples, 74206 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:14,483 : INFO : EPOCH 0 - PROGRESS: at 72.16% examples, 74219 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:15,495 : INFO : EPOCH 0 - PROGRESS: at 72.68% examples, 74229 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:16,509 : INFO : EPOCH 0 - PROGRESS: at 73.23% examples, 74249 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:17,535 : INFO : EPOCH 0 - PROGRESS: at 73.81% examples, 74251 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:18,549 : INFO : EPOCH 0 - PROGRESS: at 74.38% examples, 74264 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:19,566 : INFO : EPOCH 0 - PROGRESS: at 74.81% examples, 74148 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:20,567 : INFO : EPOCH 0 - PROGRESS: at 75.22% examples, 74053 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:21,574 : INFO : EPOCH 0 - PROGRESS: at 75.61% examples, 73942 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:22,596 : INFO : EPOCH 0 - PROGRESS: at 76.08% examples, 73898 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:23,606 : INFO : EPOCH 0 - PROGRESS: at 76.65% examples, 73913 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:24,623 : INFO : EPOCH 0 - PROGRESS: at 77.20% examples, 73907 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:25,646 : INFO : EPOCH 0 - PROGRESS: at 77.76% examples, 73956 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:28:26,663 : INFO : EPOCH 0 - PROGRESS: at 78.25% examples, 73966 words/s, in_qsize 1, out_qsize 0
2026-04-30 12:28:27,686 : INFO : EPOCH 0 - PROGRESS: at 78.79% examples, 73995 words/s, in_qsize 2, out_qsize 0
2026-04-30 12:28:28,688 : INFO : EPOCH 0 - PROGRESS: at 79.25% examples, 74042 words/s, in_qsize 1, out_qsize 0
